standard,standard_short,criterion,code,evidence,document,source_url,audit_date
Plan Vivo,Plan Vivo,species_named,0,No taxa named.,PV Climate Project Requirements v5.7,https://s3.eu-west-2.amazonaws.com/assets.planvivo.org/documents/PV-Climate-Documents/PV-Climate_Project-Requirements_V5.7.pdf,2026-07-30
Plan Vivo,Plan Vivo,creditable_non_carbon,2,"PV Nature requires identification and monitoring of invasive species, gives invasive trees removed as an example progress indicator, and discounts GRIIS listed invasives out of the pillar metric.",PV Nature standard,https://www.planvivo.org/pv-nature,2026-07-30
Gold Standard,Gold Standard,introduce_prohibited,2,Safeguarding Principles and Requirements state that projects shall not introduce invasive species.,Safeguarding Principles and Requirements v2.1 P.9.12.1,https://globalgoals.goldstandard.org/standards/103_V2.1_PAR_Safeguarding-Principles-Requirements.pdf,2026-07-30
Gold Standard,Gold Standard,removal_named_eligible,1,"Named only as a parenthetical enabling practice in the wetlands requirements, natural regeneration of native vegetation by improving management practices such as removing invasive species. Eradication elsewhere is discretionary, should rather than shall.",Blue Carbon and Freshwater Wetlands Activity Requirements v1.0 s3.1.3; SPR v2.1 P.9.12.2,https://globalgoals.goldstandard.org/standards/204_V1.0_AR_BCFW_Blue-Carbon-and-Freshwater-Wetlands-Activity-Requirements.pdf,2026-07-30
Gold Standard,Gold Standard,removal_creditable_carbon,0,"The A/R methodology and the soil organic carbon framework methodology contain no reference to invasive species; no crediting route exists.",Gold Standard A/R Methodology v2.1; SOC Framework Methodology v1.0,https://globalgoals.goldstandard.org/standards/203_V1.2.1_AR_LUF-Activity-Requirements.pdf,2026-07-30
Gold Standard,Gold Standard,biomass_loss_resolved,0,Not addressed.,Land Use and Forests Activity Requirements v1.2.1,https://globalgoals.goldstandard.org/standards/203_V1.2.1_AR_LUF-Activity-Requirements.pdf,2026-07-30
Gold Standard,Gold Standard,species_named,0,No taxa named.,Land Use and Forests Activity Requirements v1.2.1,https://globalgoals.goldstandard.org/standards/203_V1.2.1_AR_LUF-Activity-Requirements.pdf,2026-07-30
Gold Standard,Gold Standard,creditable_non_carbon,0,No biodiversity crediting instrument that scores invasive control.,Gold Standard for the Global Goals,https://globalgoals.goldstandard.org/,2026-07-30
American Carbon Registry,ACR,introduce_prohibited,2,"The ACR Standard states that invasive species are not permitted whatsoever.",ACR Standard v8.0 Appendix A Table 4,https://acrcarbon.org/wp-content/uploads/2023/10/ACR-Standard-v8.0.pdf,2026-07-30
American Carbon Registry,ACR,removal_named_eligible,1,"The only removal adjacent clause across the ACR corpus is in the inactive Mississippi Delta framework, permitting controlled burning to assist control of exotic or problematic species provided the soil carbon pool is monitored.",Mississippi Delta Restoration methodology v2.0,https://acrcarbon.org/wp-content/uploads/2023/03/WR-MF-WL_v2-0.pdf,2026-07-30
American Carbon Registry,ACR,removal_creditable_carbon,0,"Removal is treated as a cost, not a credit: emissions from brush removal must be accounted for where they exceed the de minimis threshold.",ACR Standard v8.0 Appendix A,https://acrcarbon.org/wp-content/uploads/2023/10/ACR-Standard-v8.0.pdf,2026-07-30
American Carbon Registry,ACR,biomass_loss_resolved,0,Not addressed. The California deltaic and coastal wetlands methodology contains no occurrence of the word invasive and has been inactive since 31 December 2022.,Restoration of California Deltaic and Coastal Wetlands v1.1,https://acrcarbon.org/wp-content/uploads/2023/03/ACR-California-Deltaic-Coastal-Wetlands-v1.1.pdf,2026-07-30
American Carbon Registry,ACR,species_named,0,No taxa named.,ACR Standard v8.0,https://acrcarbon.org/wp-content/uploads/2023/10/ACR-Standard-v8.0.pdf,2026-07-30
American Carbon Registry,ACR,creditable_non_carbon,0,No biodiversity crediting instrument.,ACR Standard v8.0,https://acrcarbon.org/wp-content/uploads/2023/10/ACR-Standard-v8.0.pdf,2026-07-30
Climate Action Reserve,CAR,introduce_prohibited,1,"Expressed indirectly through 95 percent native species floors rather than an explicit prohibition. The US Forest Protocol contains no occurrence of invasive, exotic, non-native or weed across 174 pages.",US Forest Protocol v5.1; Mexico Forest Protocol v3.0,https://climateactionreserve.org/wp-content/uploads/2023/07/Final_Forest_Protocol_V5.1_7.14.2023.pdf,2026-07-30
Climate Action Reserve,CAR,removal_named_eligible,0,"Not named. The single grassland mention treats invasive encroachment as a risk to rangeland health and then states that the Reserve does not seek to prescribe specific land management activities.",Grassland Protocol v2.1 s3.7,https://www.climateactionreserve.org/wp-content/uploads/2020/02/Grassland_Protocol_V2.1.pdf,2026-07-30
Climate Action Reserve,CAR,removal_creditable_carbon,0,No crediting route.,Grassland Protocol v2.1,https://www.climateactionreserve.org/wp-content/uploads/2020/02/Grassland_Protocol_V2.1.pdf,2026-07-30
Climate Action Reserve,CAR,biomass_loss_resolved,0,Not addressed.,US Forest Protocol v5.1,https://climateactionreserve.org/wp-content/uploads/2023/07/Final_Forest_Protocol_V5.1_7.14.2023.pdf,2026-07-30
Climate Action Reserve,CAR,species_named,0,No taxa named in English or Spanish across the four protocols reviewed.,Mexico Forest Protocol v3.0,https://www.climateactionreserve.org/wp-content/uploads/2022/10/Mexico-Forest-Protocol-V3.0_ENG.pdf,2026-07-30
Climate Action Reserve,CAR,creditable_non_carbon,0,No biodiversity crediting instrument.,Climate Action Reserve protocols,https://climateactionreserve.org/,2026-07-30
Article 6.4 PACM,Article 6.4,introduce_prohibited,1,"The only provision is a do no harm containment duty in the mandatory Sustainable Development Tool, which issues no units.",Sustainable Development Tool A6.4-TOOL-AC-001 s E3.2.6,https://unfccc.int/sites/default/files/resource/A6.4-TOOL-AC-001.pdf,2026-07-30
Article 6.4 PACM,Article 6.4,removal_named_eligible,0,"The removals standard contains no occurrence of invasive, alien, exotic, non-native, native species or biodiversity, and no removals or restoration methodology exists in the pipeline.",Standard for Activities Involving Removals A6.4-STAN-METH-002,https://unfccc.int/sites/default/files/resource/A6.4-STAN-METH-002.pdf,2026-07-30
Article 6.4 PACM,Article 6.4,removal_creditable_carbon,0,No crediting route.,A6.4-STAN-METH-002,https://unfccc.int/sites/default/files/resource/A6.4-STAN-METH-002.pdf,2026-07-30
Article 6.4 PACM,Article 6.4,biomass_loss_resolved,0,Not addressed.,A6.4-STAN-METH-002,https://unfccc.int/sites/default/files/resource/A6.4-STAN-METH-002.pdf,2026-07-30
Article 6.4 PACM,Article 6.4,species_named,0,No taxa named.,A6.4-STAN-METH-002,https://unfccc.int/sites/default/files/resource/A6.4-STAN-METH-002.pdf,2026-07-30
Article 6.4 PACM,Article 6.4,creditable_non_carbon,0,No biodiversity crediting instrument.,PACM methodologies,https://unfccc.int/process-and-meetings/the-paris-agreement/article-6/article-64-pacm/methodologies,2026-07-30
Australian ACCU scheme,ACCU,introduce_prohibited,2,Native species requirements are set in the determinations themselves.,Human Induced Regeneration determination F2013L01189,https://www.legislation.gov.au/F2013L01189/latest/text,2026-07-30
Australian ACCU scheme,ACCU,removal_named_eligible,2,"Management of plants that are not native to the project area is a listed project activity in statute, and suppression by non native plants is one of four permitted baseline mechanisms. On conservation land it is one of only two admissible mechanisms.",Human Induced Regeneration determination F2013L01189 s7(2)(a)(iv) and s4(1)(b)(i)(C),https://www.legislation.gov.au/F2013L01189/latest/text,2026-07-30
Australian ACCU scheme,ACCU,removal_creditable_carbon,1,"Units are issued for modelled biomass accumulation of the released regeneration, never for the removal itself. Both relevant methods are now closed, the HIR method having expired on 30 September 2023.",Human Induced Regeneration determination F2013L01189; CER closed methods register,https://cer.gov.au/schemes/australian-carbon-credit-unit-scheme/accu-scheme-methods/closed-methods/human-induced-regeneration-permanent-even-aged-native-forest-closed,2026-07-30
Australian ACCU scheme,ACCU,biomass_loss_resolved,2,"Resolved by assumption. The explanatory statement places emissions from the required removal of known weed species outside the project greenhouse gas assessment boundary, on the assumption that removal would occur under baseline conditions.",Explanatory Statement to F2013L01189,https://www.legislation.gov.au/F2013L01189/latest/text,2026-07-30
Australian ACCU scheme,ACCU,species_named,0,No taxa named.,F2013L01189,https://www.legislation.gov.au/F2013L01189/latest/text,2026-07-30
Australian ACCU scheme,ACCU,creditable_non_carbon,0,No biodiversity crediting instrument attached to the scheme at the time of audit.,ACCU scheme,https://cer.gov.au/schemes/australian-carbon-credit-unit-scheme,2026-07-30
